ADC,Support,Wins,Total Games,Winrate
119,267,511,967,0.5284384694932782
222,161,115,228,0.5043859649122807
69,115,0,1,0.0
51,43,1794,3555,0.5046413502109705
119,40,961,1744,0.5510321100917431
29,267,461,889,0.5185601799775028
18,497,237,526,0.4505703422053232
51,154,17,37,0.4594594594594595
236,43,1492,3056,0.4882198952879581
21,412,821,1524,0.5387139107611548
115,267,14,26,0.5384615384615384
236,44,240,479,0.5010438413361169
29,89,439,760,0.5776315789473684
222,412,1651,3246,0.5086260012322859
51,161,296,591,0.5008460236886633
22,26,156,271,0.5756457564575646
51,412,3629,6981,0.519839564532302
96,40,397,707,0.5615275813295615
236,53,1586,3015,0.5260364842454395
498,497,2852,5955,0.4789252728799328
18,12,155,308,0.5032467532467533
51,432,1059,1948,0.5436344969199178
236,40,1728,3316,0.5211097708082026
67,432,461,947,0.48680042238648363
29,25,404,762,0.5301837270341208
51,267,1499,2926,0.5123034859876965
67,63,379,719,0.5271210013908206
21,89,693,1213,0.5713107996702391
119,412,1584,2873,0.5513400626522799
67,89,713,1452,0.49104683195592286
18,432,185,364,0.5082417582417582
119,53,657,1219,0.538966365873667
498,432,437,813,0.5375153751537516
222,201,501,953,0.5257082896117523
498,143,353,709,0.4978843441466855
429,201,183,369,0.4959349593495935
51,40,2174,4029,0.5395879870935716
29,53,492,888,0.5540540540540541
202,201,153,332,0.4608433734939759
17,25,4,14,0.2857142857142857
236,12,589,1180,0.49915254237288137
110,412,586,1135,0.5162995594713656
21,25,464,909,0.5104510451045104
236,201,1748,3515,0.4972972972972973
222,25,745,1464,0.5088797814207651
81,37,515,1047,0.4918815663801337
51,63,783,1507,0.5195753151957532
22,37,431,790,0.5455696202531646
126,412,2,9,0.2222222222222222
222,3,66,139,0.4748201438848921
236,89,1208,2334,0.517566409597258
222,43,573,1177,0.4868309260832625
15,497,126,286,0.4405594405594406
21,53,539,956,0.5638075313807531
22,1,73,167,0.437125748502994
236,412,3694,7294,0.5064436523169729
21,111,163,330,0.49393939393939396
21,16,253,456,0.5548245614035088
119,37,371,661,0.5612708018154312
51,25,1773,3304,0.5366222760290557
222,98,45,91,0.4945054945054945
67,201,604,1149,0.525674499564839
498,25,570,1131,0.5039787798408488
67,136,1,2,0.5
29,412,1093,2010,0.5437810945273632
236,117,1538,3038,0.5062541145490455
81,111,168,366,0.45901639344262296
110,53,288,527,0.5464895635673624
67,117,1124,2137,0.5259709873654657
222,53,998,1855,0.5380053908355795
22,16,386,775,0.49806451612903224
236,111,433,861,0.502903600464576
21,63,215,384,0.5598958333333334
81,89,504,1061,0.4750235626767201
29,117,741,1416,0.5233050847457628
119,99,140,270,0.5185185185185185
18,117,425,822,0.5170316301703163
119,25,470,871,0.539609644087256
67,412,2077,4101,0.5064618385759571
498,412,1541,3006,0.5126413838988689
22,63,344,643,0.5349922239502333
51,89,1284,2448,0.5245098039215687
222,497,516,1121,0.46030330062444247
81,117,572,1273,0.4493322859387274
67,43,749,1557,0.481053307642903
96,117,892,1641,0.5435709932967703
67,161,129,254,0.5078740157480315
429,3,20,47,0.425531914893617
81,412,1455,3155,0.4611727416798732
51,497,1080,2424,0.44554455445544555
236,25,1138,2240,0.5080357142857143
67,497,665,1414,0.47029702970297027
498,201,325,711,0.4571026722925457
22,497,438,915,0.4786885245901639
236,143,719,1438,0.5
67,53,1017,1903,0.534419337887546
498,21,25,52,0.4807692307692308
202,43,333,738,0.45121951219512196
67,99,206,465,0.443010752688172
81,16,506,1008,0.501984126984127
119,43,516,998,0.5170340681362725
81,25,568,1229,0.46216436126932464
498,89,525,1007,0.5213505461767627
51,14,60,128,0.46875
67,85,6,16,0.375
236,203,1,1,1.0
81,53,690,1461,0.4722792607802875
51,3,124,258,0.4806201550387597
236,69,1,4,0.25
51,143,884,1740,0.5080459770114942
18,201,222,443,0.5011286681715575
498,14,37,64,0.578125
202,99,101,263,0.3840304182509506
236,3,113,238,0.47478991596638653
51,53,1768,3369,0.5247848026120511
