championid,matchid,teamid,killingsprees,totdmgdealt,visionscore,win,goldearned,champlvl,totheal,totdmgtaken,towerkills,inhibkills_y,baronkills,dragonkills,harrykills,KDA,support_champion
1,185567,200,0.4545454545454546,0.9997232229753846,0.2011173184357542,1.0,0.5312245135733427,1.0,0.0893771933362914,0.2929393318882425,0.6875,0.3076923076923077,0.4,0.42857142857142855,0.5,0.5416666666666666,498
2,152417,200,0.36363636363636365,0.9997106430478566,0.1452513966480447,1.0,0.49833974134917863,1.0,0.1208099713605744,0.4464216866437623,0.6875,0.38461538461538464,0.4,0.5714285714285714,0.5,0.10416666666666666,134
3,178712,200,0.18181818181818182,0.999690809157826,0.16201117318435754,1.0,0.384976115577304,0.9411764705882353,0.0907486587874632,0.3391022730193545,0.6875,0.07692307692307693,0.2,0.2857142857142857,0.5,0.13541666666666666,497
4,185851,200,0.5454545454545454,0.9997977287668386,0.21787709497206706,1.0,0.7528544797856227,1.0,0.14148279617603163,0.4669414052794366,0.6875,0.46153846153846156,0.6000000000000001,0.8571428571428571,0.5,0.2708333333333333,497
5,142662,200,0.2727272727272727,0.9996595217897835,0.09497206703910614,1.0,0.33234300361179075,0.9411764705882353,0.10988866927514018,0.29840554503628436,0.5625,0.23076923076923078,0.2,0.2857142857142857,0.5,0.08035714285714285,63
6,186565,200,0.4545454545454546,0.9997237005527413,0.2458100558659218,1.0,0.5755854596295001,1.0,0.17569884232181035,0.6733038032163268,0.6875,0.38461538461538464,0.6000000000000001,0.8571428571428571,0.5,0.41666666666666663,497
7,182143,200,0.4545454545454546,0.9997142016042819,0.2346368715083799,1.0,0.47014447162996625,1.0,0.13072284296720585,0.3449111954556749,0.6875,0.38461538461538464,0.4,0.42857142857142855,0.5,0.41666666666666663,497
8,171431,200,0.36363636363636365,0.9996951078195119,0.0893854748603352,1.0,0.42024933007107074,1.0,0.31303698922996254,0.43835088290480395,0.625,0.15384615384615385,0.2,0.14285714285714285,0.5,0.3333333333333333,497
9,165965,200,0.2727272727272727,0.9997000711795071,0.1340782122905028,1.0,0.38707328439939415,1.0,0.09703118067040459,0.31979917235706884,0.6875,0.23076923076923078,0.4,0.42857142857142855,0.5,0.23958333333333331,412
10,173785,200,0.4545454545454546,0.9997475049445781,0.18994413407821228,1.0,0.5789933589653967,1.0,0.2836614093824372,0.4307684399016425,0.6875,0.3076923076923077,0.6000000000000001,0.8571428571428571,0.5,0.5625,412
11,184970,200,0.5454545454545454,0.9997108469259095,0.19553072625698326,1.0,0.4853198182453688,1.0,0.13686418458311486,0.345570910835611,0.6875,0.23076923076923078,0.4,0.42857142857142855,0.5,0.11666666666666665,497
12,131158,200,0.18181818181818182,0.9996494140000154,0.0223463687150838,0.0,0.356023534894559,1.0,0.20914848130369895,0.336052160353676,0.5625,0.38461538461538464,0.2,0.42857142857142855,0.0,0.06597222222222221,412
13,185208,200,0.36363636363636365,0.9997174994947036,0.11731843575418995,1.0,0.44896889199580564,1.0,0.09398572062442016,0.3256166625255961,0.6875,0.38461538461538464,0.4,0.5714285714285714,0.5,0.2708333333333333,412
14,168177,200,0.5454545454545454,0.9997038899364611,0.10614525139664804,1.0,0.5341955027379703,1.0,0.21915211165342263,0.44435686318188444,0.625,0.23076923076923078,0.2,0.42857142857142855,0.0,0.09027777777777776,497
15,187577,200,0.8181818181818182,0.9999924765274686,0.5251396648044693,1.0,0.9792030758476057,1.0,0.30401153644467754,0.5241310177609089,0.75,0.6153846153846154,0.8,0.8571428571428571,1.0,0.6666666666666666,497
16,181020,200,0.2727272727272727,0.9997297531242519,0.16201117318435754,1.0,0.4749213561691717,1.0,0.2271590496551168,0.30298071403480215,0.6875,0.23076923076923078,0.4,0.5714285714285714,0.5,0.078125,497
17,187060,200,1.0,0.999840664181446,0.3575418994413408,1.0,0.941978329255505,1.0,0.2226110281957162,0.706058243443543,0.6875,0.5384615384615385,0.6000000000000001,0.7142857142857142,0.5,0.5,498
18,187588,200,0.8181818181818182,0.9999637734766625,0.446927374301676,1.0,0.8597809623674706,1.0,0.230839820902747,0.5718875570825159,0.6875,0.7692307692307693,0.8,0.8571428571428571,1.0,0.7083333333333333,498
20,174025,200,0.2727272727272727,0.9997020824970105,0.10614525139664804,1.0,0.3465862751951532,0.8823529411764706,0.14575854140615546,0.3880411593855223,0.6875,0.3076923076923077,0.4,0.2857142857142857,0.5,0.09027777777777776,267
