championid,matchid,teamid,killingsprees,totdmgdealt,visionscore,win,goldearned,champlvl,totheal,totdmgtaken,towerkills,inhibkills_y,baronkills,dragonkills,harrykills,KDA,support_champion
1,93423.0,100.0,0.18181818181818182,0.9996548125791418,0.0335195530726257,1.0,0.3225562157753699,0.8235294117647058,0.023960308176354323,0.15051791941191087,0.5625,0.07692307692307693,0.0,0.14285714285714285,0.0,0.05555555555555555,63.0
2,111819.0,100.0,0.2727272727272727,0.9996623095195979,0.0223463687150838,1.0,0.3080507980892462,0.8823529411764706,0.0710943487555968,0.3589708440072997,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.04427083333333333,79.0
3,147529.0,100.0,0.09090909090909091,0.9996530954418426,0.0670391061452514,0.0,0.25876733077012704,0.7647058823529411,0.0586704852567464,0.2648800089104415,0.25,0.0,0.0,0.14285714285714285,0.5,0.04375,111.0
4,89667.0,200.0,0.09090909090909091,0.9996588035618483,0.0335195530726257,0.0,0.31075964115111265,0.8235294117647058,0.03305130894276149,0.1787785840965755,0.3125,0.0,0.0,0.14285714285714285,0.0,0.0396780303030303,80.0
5,128927.0,200.0,0.18181818181818182,0.9996504748175554,0.08379888268156425,1.0,0.31807060468367704,0.7647058823529411,0.06694969948771733,0.27707189184094866,0.5625,0.15384615384615385,0.2,0.14285714285714285,0.5,0.0375,62.0
6,91387.5,100.0,0.09090909090909091,0.9996456997422003,0.0335195530726257,0.0,0.26207328439939415,0.7647058823529411,0.028684804969545404,0.1707206319559276,0.3125,0.0,0.0,0.14285714285714285,0.0,0.03869047619047619,89.0
7,164902.0,200.0,0.18181818181818182,0.9996459261957911,0.03910614525139665,0.0,0.2825934987766515,0.8235294117647058,0.04624662175789601,0.1776005209181182,0.3125,0.0,0.2,0.14285714285714285,0.0,0.046875,57.0
8,63728.0,200.0,0.18181818181818182,0.9996524898588589,0.0223463687150838,0.0,0.25122334847955263,0.7058823529411764,0.17331894639183576,0.25801725541266485,0.1875,0.0,0.0,0.0,0.0,0.041666666666666664,117.0
9,115964.0,100.0,0.0,0.9996585522053447,0.0,0.0,0.28131189560759645,0.8235294117647058,0.048213061191561456,0.1780803139217081,0.1875,0.0,0.0,0.14285714285714285,0.0,0.041666666666666664,25.0
10,68247.0,100.0,0.18181818181818182,0.9996692260127207,0.06145251396648045,1.0,0.3314983106140044,0.8235294117647058,0.08673510548182808,0.21839149395546495,0.375,0.07692307692307693,0.0,0.2857142857142857,0.0,0.053571428571428575,57.0
